               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.029133,             0.02227,                   0,             0.98579,             0.96003,              0.9917,             0.74352,            0.021841,            0.009624,                   0,           0.0069904,           0.0069904,           0.0069904
                  78,            0.031645,            0.022175,                   0,             0.98602,             0.96336,             0.99148,             0.74075,            0.022014,           0.0098075,                   0,           0.0069508,           0.0069508,           0.0069508
                  79,            0.030891,            0.023039,                   0,             0.98202,             0.97268,             0.99091,             0.71359,            0.023586,           0.0097992,                   0,           0.0069112,           0.0069112,           0.0069112
                  80,            0.030485,             0.02444,                   0,             0.98709,             0.96869,             0.99145,             0.75093,            0.021443,           0.0096129,                   0,           0.0068716,           0.0068716,           0.0068716
                  81,            0.030835,            0.024024,                   0,             0.98542,             0.96669,             0.99174,             0.73117,            0.022372,           0.0097194,                   0,            0.006832,            0.006832,            0.006832
                  82,            0.029913,            0.021449,                   0,             0.98709,             0.96812,             0.99217,             0.75554,            0.021681,           0.0095199,                   0,           0.0067924,           0.0067924,           0.0067924
                  83,            0.030691,             0.02411,                   0,             0.98642,             0.96766,             0.98992,             0.75533,            0.021233,           0.0093975,                   0,           0.0067528,           0.0067528,           0.0067528
                  84,            0.029984,            0.022956,                   0,             0.98949,             0.97002,             0.99098,             0.76104,            0.020946,           0.0092347,                   0,           0.0067132,           0.0067132,           0.0067132
                  85,            0.029412,            0.022715,                   0,             0.99161,             0.96136,             0.99227,             0.76974,             0.02046,           0.0091705,                   0,           0.0066736,           0.0066736,           0.0066736
                  86,            0.029188,            0.021536,                   0,             0.98839,             0.96382,             0.99131,             0.75954,             0.02096,           0.0091783,                   0,            0.006634,            0.006634,            0.006634
                  87,            0.031108,            0.023497,                   0,             0.98486,             0.97069,             0.99159,             0.76272,            0.021406,           0.0092299,                   0,           0.0065944,           0.0065944,           0.0065944
                  88,            0.030426,            0.023447,                   0,             0.97288,             0.98004,             0.99222,             0.74849,            0.021668,           0.0092498,                   0,           0.0065548,           0.0065548,           0.0065548
                  89,            0.028639,            0.021144,                   0,             0.98709,             0.96793,             0.99162,              0.7656,            0.020675,           0.0091228,                   0,           0.0065152,           0.0065152,           0.0065152
                  90,            0.029299,            0.022513,                   0,             0.98405,             0.97069,             0.99156,             0.76933,            0.020655,           0.0091065,                   0,           0.0064756,           0.0064756,           0.0064756
                  91,            0.028849,            0.021888,                   0,             0.98504,             0.97335,             0.99243,             0.76768,            0.020479,           0.0092667,                   0,            0.006436,            0.006436,            0.006436
                  92,            0.029741,            0.022713,                   0,             0.98446,             0.97069,             0.99057,             0.74927,            0.021156,           0.0093792,                   0,           0.0063964,           0.0063964,           0.0063964
                  93,            0.029348,            0.023501,                   0,             0.98791,             0.96869,             0.99177,             0.72506,            0.022791,           0.0094072,                   0,           0.0063568,           0.0063568,           0.0063568
                  94,              0.0284,            0.022024,                   0,             0.99227,             0.97002,             0.99221,             0.76997,            0.020147,           0.0089274,                   0,           0.0063172,           0.0063172,           0.0063172
                  95,            0.029945,            0.021533,                   0,             0.98521,             0.97603,             0.99303,              0.7679,            0.020487,           0.0089299,                   0,           0.0062776,           0.0062776,           0.0062776
                  96,            0.028511,            0.020216,                   0,              0.9871,              0.9688,             0.99218,             0.76918,            0.020379,           0.0089111,                   0,            0.006238,            0.006238,            0.006238
                  97,            0.028353,             0.02064,                   0,             0.98782,             0.97237,              0.9923,             0.77519,            0.020072,           0.0088485,                   0,           0.0061984,           0.0061984,           0.0061984
                  98,            0.028464,            0.020391,                   0,             0.98513,             0.97079,             0.99293,             0.75979,            0.020799,           0.0090384,                   0,           0.0061588,           0.0061588,           0.0061588
                  99,            0.028352,            0.022392,                   0,             0.99121,             0.97202,             0.99403,              0.7773,            0.020268,           0.0089561,                   0,           0.0061192,           0.0061192,           0.0061192
                 100,            0.027452,             0.02063,                   0,             0.99053,             0.97402,             0.99375,             0.76485,            0.020124,           0.0089409,                   0,           0.0060796,           0.0060796,           0.0060796
                 101,            0.028582,             0.01964,                   0,             0.99402,             0.96736,             0.99253,             0.78015,            0.019719,           0.0087966,                   0,             0.00604,             0.00604,             0.00604
                 102,            0.028869,            0.022484,                   0,             0.98852,             0.97529,             0.99379,              0.7702,            0.020412,           0.0089434,                   0,           0.0060004,           0.0060004,           0.0060004
                 103,            0.029497,            0.021251,                   0,              0.9815,             0.98068,             0.99318,             0.78091,            0.019491,           0.0089539,                   0,           0.0059608,           0.0059608,           0.0059608
                 104,            0.029013,            0.022253,                   0,             0.99297,             0.96869,             0.99373,             0.76599,              0.0198,           0.0089332,                   0,           0.0059212,           0.0059212,           0.0059212
                 105,            0.027754,            0.021279,                   0,             0.99252,             0.97183,             0.99312,             0.77268,            0.019668,           0.0087838,                   0,           0.0058816,           0.0058816,           0.0058816
                 106,            0.028671,            0.021943,                   0,             0.98562,             0.97535,             0.99217,             0.77727,            0.019909,           0.0087761,                   0,            0.005842,            0.005842,            0.005842
                 107,            0.027535,            0.022532,                   0,             0.98914,             0.97132,             0.99337,             0.76053,            0.020663,           0.0088904,                   0,           0.0058024,           0.0058024,           0.0058024
                 108,            0.027176,            0.022394,                   0,             0.99162,             0.97402,             0.99297,             0.77854,            0.019361,           0.0087407,                   0,           0.0057628,           0.0057628,           0.0057628
                 109,            0.026887,              0.0195,                   0,             0.99337,             0.97402,              0.9932,              0.7481,            0.021581,           0.0091291,                   0,           0.0057232,           0.0057232,           0.0057232
                 110,            0.027305,             0.01903,                   0,             0.99114,             0.96888,             0.99216,             0.77101,            0.019609,           0.0086879,                   0,           0.0056836,           0.0056836,           0.0056836
                 111,             0.02797,            0.021204,                   0,             0.99112,             0.96712,             0.99268,             0.78417,            0.019146,           0.0086368,                   0,            0.005644,            0.005644,            0.005644
                 112,            0.028436,            0.022169,                   0,              0.9923,             0.97002,             0.99326,             0.74577,            0.020939,           0.0088224,                   0,           0.0056044,           0.0056044,           0.0056044
                 113,            0.027505,            0.021178,                   0,              0.9918,             0.97135,             0.99257,             0.79308,            0.019045,           0.0085823,                   0,           0.0055648,           0.0055648,           0.0055648
                 114,            0.026029,            0.021034,                   0,             0.99183,             0.97468,             0.99288,             0.79476,            0.019318,           0.0084645,                   0,           0.0055252,           0.0055252,           0.0055252
                 115,            0.026648,            0.019973,                   0,             0.99321,             0.97397,             0.99385,             0.78598,            0.019378,           0.0085816,                   0,           0.0054856,           0.0054856,           0.0054856
                 116,            0.026627,            0.019251,                   0,              0.9958,             0.97268,             0.99332,             0.79213,            0.018879,           0.0086869,                   0,            0.005446,            0.005446,            0.005446
                 117,            0.027302,            0.021187,                   0,             0.99479,             0.97335,             0.99228,             0.79415,            0.018781,           0.0085424,                   0,           0.0054064,           0.0054064,           0.0054064
                 118,            0.027382,            0.019916,                   0,             0.99116,             0.97157,             0.99298,             0.77526,            0.019743,            0.008503,                   0,           0.0053668,           0.0053668,           0.0053668
                 119,             0.02667,            0.019814,                   0,             0.99055,             0.97776,             0.99338,             0.79674,            0.018522,           0.0084625,                   0,           0.0053272,           0.0053272,           0.0053272
                 120,            0.026547,            0.020683,                   0,             0.98991,             0.98065,              0.9927,             0.79154,            0.018287,           0.0083792,                   0,           0.0052876,           0.0052876,           0.0052876
                 121,            0.027147,             0.01982,                   0,             0.99274,             0.98068,             0.99318,             0.79424,            0.018746,           0.0083172,                   0,            0.005248,            0.005248,            0.005248
                 122,            0.026676,            0.020189,                   0,             0.99098,             0.97535,             0.99272,             0.78619,            0.018951,           0.0083712,                   0,           0.0052084,           0.0052084,           0.0052084
                 123,            0.027468,            0.020922,                   0,             0.99191,             0.97983,             0.99214,              0.7982,            0.018466,            0.008291,                   0,           0.0051688,           0.0051688,           0.0051688
                 124,            0.026488,            0.019587,                   0,              0.9919,              0.9794,             0.99331,             0.77688,             0.01948,           0.0085296,                   0,           0.0051292,           0.0051292,           0.0051292
                 125,            0.026698,            0.020768,                   0,             0.99321,             0.97451,             0.99374,             0.79972,            0.018588,           0.0084335,                   0,           0.0050896,           0.0050896,           0.0050896
                 126,             0.02713,            0.021156,                   0,             0.98878,             0.97801,             0.99379,             0.79547,            0.018665,           0.0082557,                   0,             0.00505,             0.00505,             0.00505
                 127,            0.026524,            0.021638,                   0,             0.98891,             0.97602,             0.99271,             0.76282,            0.020368,           0.0085418,                   0,           0.0050104,           0.0050104,           0.0050104
                 128,            0.026899,            0.019962,                   0,             0.99251,              0.9713,             0.99387,             0.79789,            0.018205,           0.0081316,                   0,           0.0049708,           0.0049708,           0.0049708
                 129,            0.026822,            0.019532,                   0,             0.98855,             0.97779,             0.99308,             0.80053,            0.018054,           0.0082636,                   0,           0.0049312,           0.0049312,           0.0049312
                 130,            0.027214,            0.020438,                   0,             0.98956,             0.97468,             0.99204,             0.80608,            0.018039,           0.0082929,                   0,           0.0048916,           0.0048916,           0.0048916
                 131,            0.024851,            0.018917,                   0,             0.99088,             0.97801,             0.99314,             0.80899,            0.017652,           0.0079457,                   0,            0.004852,            0.004852,            0.004852
                 132,            0.026634,            0.020042,                   0,             0.98657,             0.97902,             0.99216,             0.78831,            0.019206,           0.0084849,                   0,           0.0048124,           0.0048124,           0.0048124
                 133,            0.025178,            0.019508,                   0,             0.98112,             0.97135,             0.99198,             0.72891,            0.022347,           0.0090298,                   0,           0.0047728,           0.0047728,           0.0047728
                 134,            0.025009,            0.019401,                   0,             0.98658,              0.9794,             0.99382,             0.81108,            0.017973,           0.0080558,                   0,           0.0047332,           0.0047332,           0.0047332
                 135,            0.026217,            0.020318,                   0,             0.99458,             0.97799,             0.99412,              0.8165,            0.017709,           0.0079144,                   0,           0.0046936,           0.0046936,           0.0046936
                 136,            0.024803,            0.020435,                   0,             0.99312,             0.97602,              0.9936,             0.81056,            0.017692,           0.0081525,                   0,            0.004654,            0.004654,            0.004654
                 137,            0.026588,            0.019338,                   0,             0.99388,             0.97935,             0.99398,             0.79019,             0.01872,           0.0081953,                   0,           0.0046144,           0.0046144,           0.0046144
                 138,            0.025611,            0.019594,                   0,             0.99125,               0.981,             0.99408,             0.81349,            0.017747,           0.0080113,                   0,           0.0045748,           0.0045748,           0.0045748
                 139,            0.024758,            0.018994,                   0,             0.99191,             0.98057,             0.99413,             0.81538,             0.01768,           0.0080378,                   0,           0.0045352,           0.0045352,           0.0045352
                 140,            0.025797,            0.018977,                   0,             0.99325,             0.98101,             0.99353,             0.80685,            0.017912,           0.0080617,                   0,           0.0044956,           0.0044956,           0.0044956
                 141,            0.025578,            0.019401,                   0,             0.99124,             0.97967,             0.99331,             0.82401,            0.017284,           0.0079028,                   0,            0.004456,            0.004456,            0.004456
                 142,            0.025709,            0.020225,                   0,             0.99124,             0.97983,             0.99364,             0.81538,             0.01766,           0.0079251,                   0,           0.0044164,           0.0044164,           0.0044164
                 143,             0.02463,            0.018501,                   0,             0.99272,             0.97801,              0.9941,             0.81034,            0.018077,           0.0079858,                   0,           0.0043768,           0.0043768,           0.0043768
                 144,            0.024821,              0.0184,                   0,             0.99324,              0.9789,             0.99442,             0.82144,            0.017547,           0.0079264,                   0,           0.0043372,           0.0043372,           0.0043372
